E_x	E_y	E_z
2.160813	2.096870	0.786936
2.029629	1.896695	0.903410
2.014161	2.005436	1.068896
2.118615	1.872350	1.006144
1.864299	1.821969	1.145325
2.088381	1.758202	1.079357
1.942020	1.840761	1.113404
1.952819	1.753907	1.222672
1.939317	1.760471	1.239757
1.867866	1.724873	1.292369
1.834917	1.823990	1.408533
1.810993	1.730146	1.386296
1.900636	1.680678	1.446497
1.826484	1.511617	1.411419
1.684447	1.618123	1.665250
1.923336	1.634807	1.610104
1.603888	1.527466	1.548381
1.676434	1.538509	1.604537
1.559696	1.591973	1.589389
1.712408	1.678065	1.628095
1.492244	1.489610	1.804018
1.817724	1.409365	1.780191
1.626106	1.486162	1.959765
1.539804	1.507704	1.811951
1.726882	1.492645	1.812284
1.610423	1.504177	1.772569
1.682214	1.457046	1.832506
1.630668	1.572068	1.803044
1.498630	1.587170	1.738396
1.582803	1.454807	1.905589
1.473371	1.743783	1.874659
1.653476	1.515285	1.806616
1.680466	1.580678	1.813454
1.654194	1.532254	1.743914
1.640370	1.648680	1.780212
1.443360	1.631189	1.727773
1.672742	1.572889	1.772077
1.756777	1.565697	1.690129
1.625671	1.543342	1.581772
1.777271	1.742870	1.633901
1.782178	1.735995	1.511554
1.776490	1.784426	1.578230
1.850595	1.805743	1.507909
1.859979	1.779851	1.373363
1.786666	1.756071	1.345048
1.808045	1.783364	1.327179
1.697580	1.890281	1.303546
1.799683	1.955723	1.325731
1.762320	1.881448	1.148657
1.834789	2.033482	1.141904
1.908219	1.853718	1.153566
1.858179	2.041221	1.075755
2.076435	1.971136	0.777309
2.011540	2.236628	1.045499
2.036851	2.096601	0.962108
1.971400	2.200546	0.888877
2.147042	2.402476	0.830391
2.052193	2.223478	0.619073
2.060737	2.223687	0.664241
2.146287	2.220665	0.740613
2.156354	2.308475	0.586314
2.188826	2.396636	0.501809
2.147962	2.336208	0.423585
2.155217	2.346058	0.549700
2.254821	2.417544	0.509612
2.242346	2.451938	0.401958
2.289055	2.396872	0.193070
2.274502	2.563436	0.414242
2.371251	2.563753	0.322858
2.326715	2.437135	0.266690
2.369914	2.584219	0.256981
2.300478	2.502448	0.292523
2.235118	2.336652	0.189166
2.259636	2.475163	0.205495
2.323564	2.624550	0.230362
2.385022	2.562546	0.112918
2.443888	2.508386	0.244319
2.287561	2.393654	0.254323
2.396695	2.436596	0.129954
2.451902	2.407077	0.323818
2.297498	2.534198	0.184628
2.406363	2.433586	0.208907
2.358820	2.385397	0.291655
2.310453	2.427728	0.179571
2.148558	2.413067	0.456150
2.389995	2.406749	0.279462
1.657905	2.731154	1.287863
1.641600	2.708799	1.255025
1.650903	2.593708	1.173091
1.832258	2.519624	1.009535
1.768207	2.589736	1.086265
1.814899	2.540183	1.138375
1.718105	2.463547	0.972154
1.757156	2.479139	1.057853
1.924666	2.474293	0.792343
1.919886	2.391672	0.817095
2.105387	2.422770	0.712273
2.070865	2.377907	0.836676
2.213819	2.222634	0.646884
2.043479	2.238238	0.700386
2.253811	2.206086	0.600479
2.232382	2.104287	0.741754
2.140776	2.135246	0.699050
2.301158	2.061117	0.484535
2.325205	2.132010	0.311486
2.490465	1.875808	0.425513
2.378475	1.980375	0.296021
2.478889	2.041943	0.286364
2.490222	1.794799	0.395726
2.507282	1.751291	0.378120
2.668988	1.740847	0.375907
2.462332	1.640180	0.340483
2.694051	1.696492	0.267498
2.603756	1.535278	0.325095
2.688621	1.555883	0.236184
2.658516	1.519419	0.261090
2.809613	1.497832	0.236744
2.614501	1.538307	0.250562
2.622626	1.549808	0.374121
2.631857	1.281149	0.349660
2.628376	1.453197	0.135708
2.746765	1.278263	0.350527
2.678250	1.275296	0.280282
2.723286	1.335155	0.372506
2.811973	1.192975	0.470535
2.660821	1.228742	0.272659
2.625436	1.353966	0.388582
2.737007	1.167576	0.425381
2.511279	1.298171	0.523254
2.552754	1.073004	0.504295
2.593815	1.299009	0.616751
2.455220	1.323015	0.650115
2.374489	1.302216	0.561242
2.472057	1.313467	0.602506
2.395856	1.301971	0.598951
2.331662	1.365203	0.637068
2.427973	1.366545	0.637639
2.290562	1.441701	0.738272
2.268554	1.409697	0.916157
2.245302	1.355646	1.010197
2.354304	1.501705	0.956424
2.122084	1.396140	1.035920
2.172166	1.595857	1.092235
1.985571	1.603998	1.015142
2.026623	1.580143	1.285854
2.245561	1.644925	1.168074
2.009252	1.705651	1.202665
2.060776	1.697441	1.308035
1.933348	1.754201	1.376524
1.794847	1.724224	1.272729
1.832481	1.868972	1.429779
1.884290	1.855351	1.484215
1.636982	1.872537	1.523091
1.743831	1.925718	1.500525
1.528884	1.967394	1.605606
1.649880	2.078151	1.573324
1.572867	2.037343	1.650472
1.571231	2.169685	1.584668
1.347332	2.260451	1.611756
1.415276	2.274840	1.639208
1.532725	2.312871	1.738125
1.326231	2.400185	1.721933
1.378730	2.361491	1.581776
1.417213	2.313570	1.623318
1.254995	2.512687	1.684430
1.469350	2.425784	1.607484
1.258329	2.593512	1.724792
1.291344	2.545669	1.772101
1.409356	2.672997	1.702511
1.221899	2.561769	1.741103
1.247604	2.547025	1.736549
1.317510	2.644812	1.640199
1.307885	2.593989	1.747365
1.409532	2.543126	1.591660
1.229062	2.648377	1.633226
1.244644	2.640721	1.539722
1.383582	2.724935	1.533948
1.398513	2.685708	1.538395
1.530450	2.831293	1.429741
1.489256	2.792720	1.407408
1.512828	2.845370	1.373668
1.409208	2.801570	1.440708
1.548086	2.743089	1.410443
1.437929	2.785504	1.428120
1.552763	2.690258	1.183456
1.642821	2.720195	1.250313
2.325138	1.203622	0.918192
2.281808	1.182096	1.001692
2.258137	1.049974	1.109644
2.374704	1.055398	1.068927
2.212480	1.157344	1.077971
2.210724	1.067537	1.042593
2.136772	1.056187	1.127445
2.128159	1.165532	1.281593
2.113959	1.131704	1.244407
2.167852	1.122384	1.298680
2.143075	1.030358	1.343236
2.147478	1.075963	1.314844
2.105879	1.131027	1.425166
2.205399	1.104729	1.272420
2.024260	1.238115	1.388476
2.083828	1.107208	1.485918
1.902854	1.363353	1.609798
1.864464	1.223062	1.549385
1.866911	1.293715	1.509424
1.726373	1.331755	1.476351
1.808288	1.479424	1.452277
1.881810	1.391120	1.541767
1.856367	1.480804	1.619513
1.846789	1.475904	1.542444
1.670784	1.486308	1.818820
1.824514	1.496164	1.505324
1.747379	1.689441	1.650110
1.673355	1.691305	1.635518
1.681396	1.587789	1.593216
1.594884	1.821890	1.831411
1.671460	1.840516	1.671271
1.666694	1.951368	1.639845
1.772815	1.891197	1.619655
1.538713	2.073926	1.502680
1.568084	2.066250	1.629916
1.661078	2.050716	1.543756
1.533426	2.104940	1.504093
1.559623	2.435712	1.531479
1.477232	2.264709	1.552240
1.736671	2.240240	1.309355
1.721534	2.439086	1.358127
1.624170	2.261210	1.394698
1.613196	2.575389	1.288010
1.601228	2.481801	1.351348
1.535474	2.563521	1.224312
1.660884	2.699041	1.247001
1.625903	2.563985	1.206657
1.631774	2.904453	1.109347
1.759324	2.815072	1.176628
1.796790	2.797648	1.146976
1.677642	2.887841	1.161759
1.652715	2.720257	1.025715
1.658861	2.834266	1.094997
1.704922	2.852269	0.967782
1.824258	2.699970	0.879316
1.798842	2.968001	0.849617
1.665497	2.930447	0.801005
1.741037	2.839557	0.797575
1.809614	2.719810	0.842212
