E_x	E_y	E_z
1.521671	2.422337	1.523081
1.640162	2.427408	1.489571
1.568023	2.501187	1.476983
1.588195	2.496812	1.378113
1.599645	2.522028	1.413325
1.539288	2.501552	1.454487
1.618918	2.622395	1.410832
1.436886	2.462676	1.523476
1.525188	2.543651	1.368522
1.596528	2.383967	1.597411
1.696073	2.366641	1.426762
1.613195	2.389822	1.464077
1.552741	2.269581	1.465929
1.501235	2.371256	1.574706
1.460872	2.463898	1.444959
1.536292	2.456836	1.490814
1.602250	2.464808	1.439873
1.515735	2.305428	1.402208
1.785050	2.474770	1.362157
1.466917	2.412149	1.503888
1.609518	2.351462	1.452772
1.595209	2.371586	1.295053
1.555667	2.295835	1.473942
1.799098	2.381783	1.436569
1.646656	2.384941	1.490856
1.625370	2.497484	1.373778
1.617729	2.268255	1.499487
1.515673	2.300908	1.434901
1.660145	2.395558	1.362796
1.593479	2.267906	1.361011
1.575499	2.292427	1.636559
1.626680	2.206667	1.411335
1.673261	2.461035	1.333864
1.458128	2.439125	1.481136
1.536481	2.333290	1.253318
1.604352	2.312157	1.519386
1.530569	2.288363	1.379708
1.628293	2.209141	1.417538
1.536996	2.319472	1.511542
1.596644	2.267838	1.337510
1.594339	2.255528	1.641691
1.536006	2.363420	1.518856
1.643055	2.379806	1.470942
1.653813	2.238219	1.533727
1.709495	2.189561	1.341924
1.614685	2.170758	1.434993
1.725379	2.190728	1.435418
1.639601	2.282914	1.268969
1.592439	2.229376	1.526330
1.603755	2.067027	1.481623
1.595716	2.112774	1.387122
1.632264	2.150866	1.267317
1.716132	2.286053	1.480368
1.566288	2.169533	1.429767
1.699300	2.228970	1.373928
1.663330	2.207334	1.536896
1.712822	2.226404	1.432698
1.768586	2.192136	1.360514
1.770885	2.207920	1.390535
1.632514	2.171988	1.457153
1.686129	2.167254	1.548545
1.754568	2.152359	1.490264
1.599646	2.162056	1.553965
1.663627	2.062784	1.367945
1.601166	2.061639	1.387631
1.580392	2.115803	1.481642
1.620660	2.222708	1.450815
1.768981	2.053551	1.475114
1.612750	2.163779	1.422415
1.739109	2.002959	1.340883
1.745388	2.014117	1.441224
1.601054	2.142968	1.312499
1.748017	2.120385	1.351118
1.753264	2.087102	1.361385
1.636998	1.914474	1.426428
1.598319	2.062922	1.378836
1.769666	2.027216	1.372261
1.776683	2.069095	1.419040
1.760061	1.922892	1.450431
1.773885	1.955901	1.373693
1.728096	2.016157	1.415351
1.841502	2.101467	1.290192
1.783921	2.114094	1.415901
1.822215	2.159434	1.461934
1.762226	2.080984	1.394273
1.748467	1.970335	1.498899
1.688449	2.105707	1.417353
1.648050	2.012442	1.220567
1.803087	2.045351	1.331833
1.768626	2.119611	1.336504
1.683138	2.078265	1.519790
1.766038	2.037093	1.471353
1.713288	1.918930	1.461189
1.898574	1.991640	1.301005
1.924460	1.903700	1.339958
1.804347	2.054185	1.427229
1.813036	1.966473	1.364518
1.827040	1.736115	1.337069
1.806546	1.833614	1.386333
1.776387	2.045713	1.473367
1.760071	1.896855	1.347861
1.764423	1.916913	1.294539
1.716801	1.943112	1.396614
1.744582	1.957687	1.300006
1.827208	1.946193	1.342815
1.845649	1.840070	1.328549
1.799434	1.816949	1.327960
1.702065	1.830252	1.317773
1.802343	1.843127	1.332414
1.860866	1.920984	1.286208
1.738027	1.771404	1.296280
1.805239	1.785975	1.233479
